,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
0,10001,8907912,22767.0,34.4,81445.0,77512.0,4125.0,18.118329160627223,13779.0,8988
1,10002,671500,79894.0,40.9,32966.0,26905.0,21803.0,27.289909129596715,24898.0,54996
2,10003,6887483,57068.0,32.2,97524.0,79088.0,4950.0,8.673862760215883,44052.0,13016
3,10004,11733524,3024.0,33.0,123409.0,98020.0,259.0,8.564814814814815,2341.0,683
4,10005,6761564,7570.0,28.8,121840.0,99633.0,778.0,10.277410832232496,5673.0,1897
5,10006,2300230,2950.0,31.0,121316.0,97226.0,245.0,8.305084745762711,2110.0,840
6,10007,2798122,6748.0,34.9,250001.0,173257.0,174.0,2.5785417901600476,4532.0,2216
7,10009,411148,61806.0,36.2,61154.0,44714.0,12814.0,20.732614956476716,36949.0,24857
8,10010,7860140,30708.0,35.7,100763.0,81938.0,3859.0,12.566757848117755,22225.0,8483
9,10011,4164642,52941.0,39.6,104974.0,111064.0,4549.0,8.59258419750288,41997.0,10944
10,10012,2444313,24846.0,34.5,95577.0,77712.0,2470.0,9.941238026241649,18890.0,5956
11,10013,7492878,26937.0,37.1,97228.0,96781.0,3351.0,12.440138100011136,15173.0,11764
12,10014,2774296,31835.0,37.0,109557.0,107342.0,2089.0,6.561960106800691,28432.0,3403
13,10016,9202349,50112.0,33.1,103960.0,87576.0,5226.0,10.428639846743295,36109.0,14003
14,10017,19910777,16278.0,37.3,102165.0,104324.0,1164.0,7.150755621083671,11820.0,4458
15,10018,10547799,8062.0,30.6,100298.0,76632.0,1230.0,15.256760109154056,4480.0,3582
16,10019,20099121,38752.0,39.7,90174.0,86447.0,4551.0,11.743909991742361,28092.0,10660
17,10020,5155083,0.0,,,,0.0,,0.0,0
18,10021,5170312,42142.0,40.3,109398.0,115478.0,3190.0,7.569645484314935,35454.0,6688
19,10022,21632582,29699.0,46.0,115604.0,132596.0,1505.0,5.067510690595643,25556.0,4143
20,10023,2747011,60762.0,41.8,111265.0,99916.0,4824.0,7.939172509133998,50521.0,10241
21,10024,890513,59249.0,41.5,109784.0,97669.0,4206.0,7.098853989096862,48168.0,11081
22,10025,972374,97373.0,39.3,71865.0,56151.0,15786.0,16.211886251835725,63028.0,34345
23,10026,93200,38372.0,34.3,47318.0,30904.0,10948.0,28.531220681747108,9179.0,29193
24,10027,2396356,63057.0,30.4,40013.0,27977.0,17111.0,27.135766052936233,17987.0,45070
25,10028,851563,46169.0,39.7,115485.0,111660.0,2505.0,5.425718555740865,40815.0,5354
26,10029,1896625,77857.0,33.5,31446.0,25577.0,22704.0,29.16115442413656,24972.0,52885
27,10030,79001,29530.0,34.0,32561.0,23064.0,9113.0,30.860142228242466,3850.0,25680
28,10031,123331,58912.0,33.4,38338.0,22954.0,16177.0,27.459600760456272,16271.0,42641
29,10032,0,59069.0,34.6,35979.0,19137.0,16472.0,27.886031590174202,17608.0,41461
30,10033,236063,60520.0,35.9,44595.0,23976.0,14323.0,23.666556510244547,25258.0,35262
31,10034,128458,42672.0,36.4,42522.0,22776.0,11044.0,25.88113985751781,15448.0,27224
32,10035,439353,34760.0,34.7,26764.0,19691.0,13257.0,38.138665132336016,7450.0,27310
33,10036,21494876,24127.0,37.5,70625.0,72435.0,2906.0,12.044597339080697,16138.0,7989
34,10037,190490,18041.0,37.1,37000.0,25736.0,4970.0,27.548362064187128,1926.0,16115
35,10038,3767995,20997.0,33.6,73988.0,59309.0,3920.0,18.669333714340144,10378.0,10619
36,10039,47149,25952.0,32.9,33132.0,20185.0,7800.0,30.05548705302096,3613.0,22339
37,10040,133822,45278.0,37.6,46944.0,24468.0,8684.0,19.179292371571183,17320.0,27958
38,10044,80733,12050.0,39.4,95259.0,46709.0,1182.0,9.809128630705395,6722.0,5328
39,10069,25573,5523.0,35.8,172926.0,118923.0,305.0,5.522361035669021,4194.0,1329
40,10103,1218270,0.0,,,,0.0,,0.0,0
41,10110,269615,1.0,,,,0.0,0.0,1.0,0
42,10111,702819,0.0,,,,0.0,,0.0,0
43,10112,1219019,0.0,,,,0.0,,0.0,0
44,10115,125065,0.0,,,,0.0,,0.0,0
45,10119,898246,0.0,,,,0.0,,0.0,0
46,10128,778465,62447.0,38.7,100649.0,91988.0,4817.0,7.71374125258219,50735.0,11712
47,10152,648037,0.0,,,,0.0,,0.0,0
48,10153,1652882,0.0,,,,0.0,,0.0,0
49,10154,1266413,0.0,,,,0.0,,0.0,0
50,10162,6511,1252.0,36.2,193238.0,107132.0,0.0,0.0,1188.0,64
51,10165,320174,0.0,,,,0.0,,0.0,0
52,10167,1398464,0.0,,,,0.0,,0.0,0
53,10168,317193,0.0,,,,0.0,,0.0,0
54,10169,560494,0.0,,,,0.0,,0.0,0
55,10170,560858,0.0,,,,0.0,,0.0,0
56,10171,901117,0.0,,,,0.0,,0.0,0
57,10172,1235755,0.0,,,,0.0,,0.0,0
58,10173,240940,0.0,,,,0.0,,0.0,0
59,10174,504310,0.0,,,,0.0,,0.0,0
60,10177,434469,0.0,,,,0.0,,0.0,0
61,10199,0,0.0,,,,0.0,,0.0,0
62,10271,452336,0.0,,,,0.0,,0.0,0
63,10278,0,0.0,,,,0.0,,0.0,0
64,10279,126127,0.0,,,,0.0,,0.0,0
65,10280,48718,8817.0,37.1,143636.0,90980.0,485.0,5.500737212203697,6342.0,2475
66,10282,177850,5903.0,33.0,245556.0,138381.0,140.0,2.371675419278333,4337.0,1566
67,10301,249271,39367.0,35.3,60278.0,28054.0,7671.0,19.485863794548735,22677.0,16690
68,10302,179749,18043.0,33.3,54150.0,23165.0,4593.0,25.455855456409687,10965.0,7078
69,10303,233842,24348.0,32.8,52826.0,22593.0,5726.0,23.517332019057008,9425.0,14923
70,10304,197151,41864.0,35.0,53762.0,27811.0,8354.0,19.95509268106249,21176.0,20688
71,10305,708914,41471.0,40.1,70763.0,30178.0,4559.0,10.993224180752815,32121.0,9350
72,10306,317288,54888.0,42.0,79152.0,35187.0,3643.0,6.637152018656173,48857.0,6031
73,10307,59912,15006.0,39.0,86688.0,34894.0,932.0,6.210848993735839,14143.0,863
74,10308,65208,29805.0,42.3,85814.0,36756.0,2169.0,7.27730246602919,27964.0,1841
75,10309,314197,33382.0,38.6,87536.0,37508.0,3160.0,9.466179378107963,30597.0,2785
76,10310,309396,24719.0,33.6,64724.0,27220.0,5417.0,21.91431692220559,14135.0,10584
77,10311,0,0.0,,,,0.0,,0.0,0
78,10312,202572,61105.0,41.2,87946.0,36127.0,4363.0,7.140168562310777,56462.0,4643
79,10314,802699,87524.0,41.5,78962.0,33822.0,6818.0,7.789863351766373,67603.0,19921
80,10451,1015618,47818.0,31.6,27197.0,15672.0,16458.0,34.418001589359655,7073.0,40745
