,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
0,10001,8717306,21966.0,34.7,81671.0,82166.0,3375.0,15.364654465992897,13943.0,8023
1,10002,617348,82191.0,39.8,33218.0,26227.0,23346.0,28.404569843413512,25545.0,56646
2,10003,6479129,57310.0,32.3,92540.0,74189.0,5916.0,10.322805793055313,44470.0,12840
3,10004,9308424,2807.0,33.1,129313.0,108786.0,250.0,8.906305664410402,2241.0,566
4,10005,6325335,6822.0,28.6,124670.0,102849.0,724.0,10.612723541483437,5077.0,1745
5,10006,2210783,2507.0,31.3,119274.0,101271.0,252.0,10.051854806541684,1759.0,748
6,10007,2440063,6525.0,34.0,216037.0,157713.0,144.0,2.206896551724138,4576.0,1949
7,10009,389801,62810.0,36.3,59929.0,43893.0,12567.0,20.007960515841425,37540.0,25270
8,10010,8554029,30670.0,35.1,97955.0,79491.0,4204.0,13.707205738506683,21820.0,8850
9,10011,4502863,52167.0,39.7,104238.0,110631.0,4379.0,8.394195564245596,40683.0,11484
10,10012,2186536,26145.0,34.1,86594.0,72914.0,2552.0,9.760948556129279,19691.0,6454
11,10013,6896775,26065.0,36.4,83725.0,90699.0,3223.0,12.365240744293112,14628.0,11437
12,10014,2728947,30597.0,36.7,108483.0,106068.0,1989.0,6.500637317384057,26891.0,3706
13,10016,8781787,51196.0,32.8,105324.0,87986.0,4689.0,9.158918665520744,38341.0,12855
14,10017,19801348,16129.0,37.2,100652.0,101239.0,1207.0,7.483414966829933,12359.0,3770
15,10018,10174317,7021.0,30.9,104635.0,75598.0,972.0,13.844181740492807,4125.0,2896
16,10019,17952778,38394.0,38.8,84424.0,84966.0,5013.0,13.056727613689638,27881.0,10513
17,10020,5505989,0.0,,,,0.0,,0.0,0
18,10021,4904606,40862.0,42.7,107907.0,120077.0,2763.0,6.76178356419167,36163.0,4699
19,10022,19709651,29618.0,45.3,109019.0,129778.0,1318.0,4.449996623674792,25263.0,4355
20,10023,2643590,61315.0,41.3,103534.0,99496.0,5316.0,8.669982875315991,50678.0,10637
21,10024,796379,59164.0,41.8,109956.0,97633.0,3950.0,6.676357244270164,47916.0,11248
22,10025,1029719,97390.0,38.2,68516.0,55843.0,16008.0,16.437005852756958,64006.0,33384
23,10026,84055,37871.0,33.6,43107.0,28674.0,10640.0,28.09537640938977,8837.0,29034
24,10027,2242627,62617.0,30.7,37872.0,27349.0,16581.0,26.480029384991298,17822.0,44795
25,10028,1165739,44295.0,40.3,104638.0,107679.0,2538.0,5.72976633931595,39452.0,4843
26,10029,1757880,77454.0,33.5,31888.0,25270.0,21062.0,27.19291450409275,27158.0,50296
27,10030,73792,28472.0,34.0,31925.0,23992.0,7954.0,27.936218038774935,4301.0,24171
28,10031,119632,59092.0,33.0,37655.0,23322.0,16139.0,27.311649631083736,16260.0,42832
29,10032,0,59374.0,34.5,34568.0,19005.0,16743.0,28.199211776198336,16931.0,42443
30,10033,234589,58710.0,35.9,41556.0,23403.0,14274.0,24.312723556463975,24130.0,34580
31,10034,116870,41510.0,36.5,41171.0,22909.0,10697.0,25.769694049626597,15031.0,26479
32,10035,417421,33488.0,34.2,24533.0,19541.0,13486.0,40.271141901576684,7069.0,26419
33,10036,18574641,23132.0,38.2,66599.0,68213.0,3174.0,13.72125194535708,15333.0,7799
34,10037,175993,17377.0,37.6,37341.0,25535.0,4327.0,24.90073085112505,1459.0,15918
35,10038,3624536,20082.0,32.4,66074.0,58768.0,3679.0,18.319888457324968,10072.0,10010
36,10039,44159,26577.0,33.3,33595.0,19675.0,7664.0,28.836964292433308,3743.0,22834
37,10040,135195,44825.0,37.0,42721.0,23593.0,9909.0,22.10596765197992,17602.0,27223
38,10044,88073,12346.0,40.2,83066.0,43053.0,1218.0,9.865543495869108,6845.0,5501
39,10069,32932,5118.0,38.1,170630.0,123349.0,229.0,4.474404064087534,3828.0,1290
40,10103,1015022,0.0,,,,0.0,,0.0,0
41,10110,189100,2.0,,,,1.0,50.0,1.0,1
42,10111,693531,0.0,,,,0.0,,0.0,0
43,10112,950471,0.0,,,,0.0,,0.0,0
44,10115,121296,0.0,,,,0.0,,0.0,0
45,10119,811810,0.0,,,,0.0,,0.0,0
46,10128,728160,60121.0,38.8,96296.0,89300.0,4560.0,7.58470417990386,49632.0,10489
47,10152,596873,0.0,,,,0.0,,0.0,0
48,10153,1391338,0.0,,,,0.0,,0.0,0
49,10154,1110751,0.0,,,,0.0,,0.0,0
50,10162,5922,1327.0,39.7,168667.0,106304.0,0.0,0.0,1213.0,114
51,10165,325479,0.0,,,,0.0,,0.0,0
52,10167,1208179,0.0,,,,0.0,,0.0,0
53,10168,300319,0.0,,,,0.0,,0.0,0
54,10169,499416,0.0,,,,0.0,,0.0,0
55,10170,507039,0.0,,,,0.0,,0.0,0
56,10171,803349,0.0,,,,0.0,,0.0,0
57,10172,1133770,0.0,,,,0.0,,0.0,0
58,10173,226554,0.0,,,,0.0,,0.0,0
59,10174,371270,0.0,,,,0.0,,0.0,0
60,10177,413653,0.0,,,,0.0,,0.0,0
61,10199,0,0.0,,,,0.0,,0.0,0
62,10271,526746,0.0,,,,0.0,,0.0,0
63,10278,0,0.0,,,,0.0,,0.0,0
64,10279,145283,0.0,,,,0.0,,0.0,0
65,10280,45198,8685.0,37.9,129574.0,82005.0,428.0,4.928036845135291,6045.0,2640
66,10282,184307,6217.0,33.9,230952.0,121627.0,132.0,2.123210551713045,4259.0,1958
67,10301,241362,38885.0,34.7,56848.0,27952.0,7490.0,19.261926192619264,23551.0,15334
68,10302,205721,16811.0,34.0,56841.0,24198.0,4278.0,25.44762357979894,10299.0,6512
69,10303,256723,24537.0,31.1,51537.0,22077.0,5356.0,21.82825936341036,9751.0,14786
70,10304,191539,43084.0,34.8,53168.0,27103.0,8444.0,19.598923034072975,20475.0,22609
71,10305,708901,42006.0,39.9,70758.0,30172.0,4464.0,10.627053278103128,32502.0,9504
72,10306,301537,55902.0,41.4,75807.0,34834.0,3524.0,6.303888948517048,49154.0,6748
73,10307,55257,14829.0,37.4,86457.0,36028.0,666.0,4.491199676309933,13912.0,917
74,10308,59199,28939.0,42.6,88075.0,38275.0,1517.0,5.242060886692698,27671.0,1268
75,10309,328894,32646.0,38.5,86297.0,35719.0,2209.0,6.766525761195859,29873.0,2773
76,10310,301962,25227.0,34.1,61925.0,27923.0,5477.0,21.71086534268839,14598.0,10629
77,10311,0,0.0,,,,0.0,,0.0,0
78,10312,180409,60081.0,41.2,85324.0,36128.0,4077.0,6.785839117191791,55772.0,4309
79,10314,759811,87276.0,41.0,77242.0,32807.0,7454.0,8.540721389614555,67625.0,19651
80,10451,968999,47069.0,31.2,26754.0,14629.0,17343.0,36.84590707259555,8068.0,39001
81,10452,163275,74931.0,30.4,25979.0,13019.0,27804.0,37.106137646634906,11477.0,63454
